rulename diff lwr upr padj
自尊心-優越 2.7 -4.41149701935895 9.81149701935896 0.999930029761253
運命-優越 2.70000000000004 -4.41149701935892 9.81149701935899 0.999930029761253
驚き-優越 3.70000000000003 -3.41149701935892 10.811497019359 0.984107171096399
感傷-優越 10.7000000000001 3.58850298064112 17.811497019359 1.10275934281923e-05
不安-優越 11.1 3.98850298064106 18.211497019359 3.50853330555179e-06
不健全-優越 11.4 4.28850298064104 18.5114970193589 1.45389255623574e-06
皮肉-優越 11.5 4.38850298064104 18.6114970193589 1.07951969630093e-06
後悔-優越 12.1 4.98850298064103 19.2114970193589 1.73567662353769e-07
罪悪感-優越 12.2 5.08850298064102 19.3114970193589 1.27134451077815e-07
服従-優越 12.9 5.78850298064103 20.0114970193589 1.36637688941121e-08
攻撃-優越 13.7 6.58850298064105 20.811497019359 9.623960517402e-10
軽蔑-優越 14.4 7.28850298064106 21.511497019359 8.74030847697327e-11
恐れ-優越 14.8 7.68850298064108 21.911497019359 2.20140572437799e-11
怒り-優越 15 7.88850298064105 22.111497019359 1.12413411912371e-11
畏怖-優越 16.4 9.28850298064108 23.511497019359 9.36029032061469e-13
悲観-優越 17.4 10.288502980641 24.5114970193589 8.86068995953337e-13
拒絶-優越 18 10.8885029806411 25.111497019359 8.76521077941561e-13
嫌悪-優越 18.0999999999999 10.988502980641 25.2114970193589 8.63642490855909e-13
悲しみ-優越 18.2 11.0885029806411 25.311497019359 8.85402862138562e-13
憤慨-優越 19.3 12.188502980641 26.4114970193589 8.67417249139635e-13
恥辱-優越 20.1 12.9885029806411 27.211497019359 8.16569034611803e-13
悲憤-優越 20.6 13.488502980641 27.7114970193589 7.44404538011167e-13
憎悪-優越 21.2 14.088502980641 28.311497019359 6.63136212608606e-13
絶望-優越 24.7 17.5885029806411 31.811497019359 5.74984504453369e-13
期待（予測）-好奇心 0.199999999999996 -6.91149701935896 7.31149701935895 1
楽観-好奇心 1.30000000000009 -5.81149701935886 8.41149701935904 1
自尊心-好奇心 2.49999999999999 -4.61149701935896 9.61149701935895 0.999986099690608
運命-好奇心 2.50000000000003 -4.61149701935892 9.61149701935898 0.999986099690608
驚き-好奇心 3.50000000000003 -3.61149701935893 10.611497019359 0.992866427968695
感傷-好奇心 10.5000000000001 3.38850298064111 17.611497019359 1.92970794649083e-05
不安-好奇心 10.9 3.78850298064105 18.011497019359 6.24686687866749e-06
不健全-好奇心 11.2 4.08850298064103 18.3114970193589 2.62113577387257e-06
皮肉-好奇心 11.3 4.18850298064103 18.4114970193589 1.95413763026675e-06
後悔-好奇心 11.9 4.78850298064102 19.0114970193589 3.21674997638688e-07
罪悪感-好奇心 12 4.88850298064101 19.1114970193589 2.36513647222658e-07
