rulename,diff,lwr,upr,padj
悲憤-運命,17.9,10.78850298,25.01149702,8.86E-13
憎悪-運命,18.5,11.38850298,25.61149702,8.63E-13
絶望-運命,22,14.88850298,29.11149702,6.02E-13
不安-驚き,7.4,0.288502981,14.51149702,0.029601978
不健全-驚き,7.7,0.588502981,14.81149702,0.016582864
皮肉-驚き,7.8,0.688502981,14.91149702,0.013569632
後悔-驚き,8.4,1.288502981,15.51149702,0.003791185
罪悪感-驚き,8.5,1.388502981,15.61149702,0.003030772
服従-驚き,9.2,2.088502981,16.31149702,0.000582132
攻撃-驚き,10,2.888502981,17.11149702,7.51E-05
軽蔑-驚き,10.7,3.588502981,17.81149702,1.10E-05
恐れ-驚き,11.1,3.988502981,18.21149702,3.51E-06
怒り-驚き,11.3,4.188502981,18.41149702,1.95E-06
畏怖-驚き,12.7,5.588502981,19.81149702,2.61E-08
悲観-驚き,13.7,6.588502981,20.81149702,9.62E-10
拒絶-驚き,14.3,7.188502981,21.41149702,1.23E-10
嫌悪-驚き,14.4,7.288502981,21.51149702,8.74E-11
悲しみ-驚き,14.5,7.388502981,21.61149702,6.18E-11
憤慨-驚き,15.6,8.488502981,22.71149702,2.07E-12
恥辱-驚き,16.4,9.288502981,23.51149702,9.36E-13
悲憤-驚き,16.9,9.788502981,24.01149702,8.87E-13
憎悪-驚き,17.5,10.38850298,24.61149702,8.88E-13
絶望-驚き,21,13.88850298,28.11149702,6.88E-13
拒絶-感傷,7.3,0.188502981,14.41149702,0.035634852
嫌悪-感傷,7.4,0.288502981,14.51149702,0.029601978
悲しみ-感傷,7.5,0.388502981,14.61149702,0.024494782
憤慨-感傷,8.6,1.488502981,15.71149702,0.002415453
恥辱-感傷,9.4,2.288502981,16.51149702,0.00035432
悲憤-感傷,9.9,2.788502981,17.01149702,9.79E-05
憎悪-感傷,10.5,3.388502981,17.61149702,1.93E-05
絶望-感傷,14,6.888502981,21.11149702,3.47E-10
憤慨-不安,8.2,1.088502981,15.31149702,0.00587644
恥辱-不安,9,1.888502981,16.11149702,0.000946106
悲憤-不安,9.5,2.388502981,16.61149702,0.000275337
憎悪-不安,10.1,2.988502981,17.21149702,5.75E-05
絶望-不安,13.6,6.488502981,20.71149702,1.35E-09
憤慨-不健全,7.9,0.788502981,15.01149702,0.011064573
恥辱-不健全,8.7,1.588502981,15.81149702,0.001919271
悲憤-不健全,9.2,2.088502981,16.31149702,0.000582132
憎悪-不健全,9.8,2.688502981,16.91149702,0.000127236
絶望-不健全,13.3,6.188502981,20.41149702,3.67E-09
憤慨-皮肉,7.8,0.688502981,14.91149702,0.013569632
恥辱-皮肉,8.6,1.488502981,15.71149702,0.002415453
悲憤-皮肉,9.1,1.988502981,16.21149702,0.000743154
憎悪-皮肉,9.7,2.588502981,16.81149702,0.000164989
絶望-皮肉,13.2,6.088502981,20.31149702,5.12E-09
憤慨-後悔,7.2,0.088502981,14.31149702,0.042726213
恥辱-後悔,8,0.888502981,15.11149702,0.008990693
悲憤-後悔,8.5,1.388502981,15.61149702,0.003030772
憎悪-後悔,9.1,1.988502981,16.21149702,0.000743154
絶望-後悔,12.6,5.488502981,19.71149702,3.59E-08
恥辱-罪悪感,7.9,0.788502981,15.01149702,0.011064573
悲憤-罪悪感,8.4,1.288502981,15.51149702,0.003791185
憎悪-罪悪感,9,1.888502981,16.11149702,0.000946106
絶望-罪悪感,12.5,5.388502981,19.61149702,4.94E-08
恥辱-服従,7.2,0.088502981,14.31149702,0.042726213
悲憤-服従,7.7,0.588502981,14.81149702,0.016582864
憎悪-服従,8.3,1.188502981,15.41149702,0.004727568
絶望-服従,11.8,4.688502981,18.91149702,4.37E-07
憎悪-攻撃,7.5,0.388502981,14.61149702,0.024494782
絶望-攻撃,11,3.888502981,18.11149702,4.69E-06
絶望-軽蔑,10.3,3.188502981,17.41149702,3.35E-05
絶望-恐れ,9.9,2.788502981,17.01149702,9.79E-05
絶望-怒り,9.7,2.588502981,16.81149702,0.000164989
絶望-畏怖,8.3,1.188502981,15.41149702,0.004727568
絶望-悲観,7.3,0.188502981,14.41149702,0.035634852
